IMIĘ_DRUGIE,PŁEĆ,LICZBA_WYSTĄPIEŃ
MARIETTA,KOBIETA,455
IRMGARDA,KOBIETA,449
KONSTANTYNA,KOBIETA,448
LINDA,KOBIETA,443
MARGARET,KOBIETA,442
HANKA,KOBIETA,440
LIZA,KOBIETA,439
ADAMINA,KOBIETA,432
RUTH,KOBIETA,430
GRACJA,KOBIETA,427
MERCEDES,KOBIETA,426
EMILY,KOBIETA,425
ELZA,KOBIETA,420
AGNES,KOBIETA,415
CHRISTINA,KOBIETA,415
ISABEL,KOBIETA,414
KAROLA,KOBIETA,411
CHRISTINE,KOBIETA,410
SZARLOTA,KOBIETA,409
RAMONA,KOBIETA,407
FRYDERYKA,KOBIETA,405
WANESA,KOBIETA,401
CARMEN,KOBIETA,398
LUBOMIRA,KOBIETA,392
NEL,KOBIETA,390
ALOJZA,KOBIETA,388
CRISTINA,KOBIETA,387
BENIGNA,KOBIETA,386
IWONNA,KOBIETA,383
SERAFINA,KOBIETA,382
CHARLOTTE,KOBIETA,381
LEONA,KOBIETA,378
MARGARETA,KOBIETA,377
LUDWINA,KOBIETA,375
AURORA,KOBIETA,374
JOHANNA,KOBIETA,372
ŻAKLINA,KOBIETA,371
DELFINA,KOBIETA,371
HERMINA,KOBIETA,370
JAGNA,KOBIETA,352
ARLETTA,KOBIETA,350
MARGOT,KOBIETA,350
ALICE,KOBIETA,350
IZYDORA,KOBIETA,350
CAROLINE,KOBIETA,349
SYBILLA,KOBIETA,348
VERONIKA,KOBIETA,348
INGRID,KOBIETA,348
LUDOMIRA,KOBIETA,348
DOBRAWA,KOBIETA,347
MODESTA,KOBIETA,345
NATALIE,KOBIETA,340
CATHERINE,KOBIETA,340
WINCENTA,KOBIETA,340
ALBERTYNA,KOBIETA,337
SABRINA,KOBIETA,330
KATHARINA,KOBIETA,329
FATIMA,KOBIETA,325
ALA,KOBIETA,324
OKSANA,KOBIETA,323
RADOSŁAWA,KOBIETA,322
ROBERTA,KOBIETA,319
DAJANA,KOBIETA,316
CAROLINA,KOBIETA,310
ELA,KOBIETA,308
FILIPINA,KOBIETA,306
CYRYLA,KOBIETA,305
OTOLIA,KOBIETA,302
ABIGAIL,KOBIETA,297
ROSA,KOBIETA,296
LESŁAWA,KOBIETA,295
IRENE,KOBIETA,295
LEONORA,KOBIETA,294
JENNIFER,KOBIETA,294
IDALIA,KOBIETA,292
MARTHA,KOBIETA,291
LUKRECJA,KOBIETA,288
LUCIA,KOBIETA,288
ZBIGNIEWA,KOBIETA,283
DŻESIKA,KOBIETA,282
ALICIA,KOBIETA,282
EMILA,KOBIETA,282
ELLA,KOBIETA,281
DOBROCHNA,KOBIETA,279
DALIA,KOBIETA,277
JOLENTA,KOBIETA,275
LARA,KOBIETA,274
EDMUNDA,KOBIETA,270
KARIN,KOBIETA,268
HELEN,KOBIETA,268
KASANDRA,KOBIETA,268
BIBIANNA,KOBIETA,268
MONICA,KOBIETA,267
MARTINA,KOBIETA,263
MICHAELA,KOBIETA,261
ANASTASIA,KOBIETA,261
HIERONIMA,KOBIETA,258
NIKOL,KOBIETA,257
NICOL,KOBIETA,256
ZOJA,KOBIETA,256
DOBROMIŁA,KOBIETA,255
INGEBORGA,KOBIETA,252
BENITA,KOBIETA,251
KRISTINA,KOBIETA,251
RYTA,KOBIETA,249
SIMONA,KOBIETA,247
RUT,KOBIETA,246
DOLORES,KOBIETA,243
JULITTA,KOBIETA,243
MIŁOSŁAWA,KOBIETA,238
LILY,KOBIETA,237
MARITA,KOBIETA,236
JOSEPHINE,KOBIETA,236
LUISA,KOBIETA,234
ISABELLE,KOBIETA,232
BOGDA,KOBIETA,231
HALSZKA,KOBIETA,228
WALBURGA,KOBIETA,228
NAOMI,KOBIETA,228
KAUR,KOBIETA,227
WŁODZIMIERA,KOBIETA,226
MAJKA,KOBIETA,224
EUNIKA,KOBIETA,222
LYNN,KOBIETA,221
EUZEBIA,KOBIETA,221
IZOLDA,KOBIETA,220
ADOLFINA,KOBIETA,220
HERTA,KOBIETA,219
RACHEL,KOBIETA,217
EUFROZYNA,KOBIETA,217
ALOJZJA,KOBIETA,216
BEATRIZ,KOBIETA,216
FRANCESCA,KOBIETA,214
KORDULA,KOBIETA,213
MIRANDA,KOBIETA,213
LISA,KOBIETA,212
ZOE,KOBIETA,212
KONRADA,KOBIETA,208
VIOLETA,KOBIETA,208
ANIKA,KOBIETA,206
ELZBIETA,KOBIETA,206
JOY,KOBIETA,205
REBEKA,KOBIETA,204
FRIEDA,KOBIETA,203
SATURNINA,KOBIETA,202
MARIA TERESA,KOBIETA,202
GUSTAWA,KOBIETA,201
AURELA,KOBIETA,201
RAFAELA,KOBIETA,201
ALEJANDRA,KOBIETA,200
MARGARITA,KOBIETA,197
NUR,KOBIETA,196
KATHERINE,KOBIETA,195
KLOTYLDA,KOBIETA,195
STEPHANIE,KOBIETA,194
MARINA,KOBIETA,194
ANICETA,KOBIETA,194
ŻANETTA,KOBIETA,193
LEOPOLDA,KOBIETA,193
CLAIRE,KOBIETA,193
ALMA,KOBIETA,191
RACHELA,KOBIETA,191
HEDWIG,KOBIETA,190
LEE,KOBIETA,189
WIERA,KOBIETA,188
ANA,KOBIETA,188
GABRIELLA,KOBIETA,188
DAGNA,KOBIETA,187
KSYMENA,KOBIETA,185
LORA,KOBIETA,185
FRYDA,KOBIETA,183
DIONIZA,KOBIETA,182
ADOLFA,KOBIETA,182
DEBORA,KOBIETA,181
ARIADNA,KOBIETA,180
